event, click, i, 1, j, 1, index, 3, t, 1543360867.504
event, click, i, 2, j, 1, index, 5, t, 1543360869.505
event, click, i, 0, j, 0, index, 0, t, 1543362461.694
event, click, i, 1, j, 0, index, 2, t, 1543362463.334
event, click, i, 2, j, 0, index, 4, t, 1543362469.342
event, click, i, 1, j, 0, index, 2, t, 1543362509.079
event, click, i, 0, j, 0, index, 0, t, 1543362511.725
event, click, i, 2, j, 1, index, 5, t, 1543362514.405
event, click, i, 0, j, 1, index, 1, t, 1543362516.853
event, click, i, 1, j, 0, index, 2, t, 1543362519.718
event, click, i, 2, j, 0, index, 4, t, 1543362522.326
event, click, i, 0, j, 1, index, 1, t, 1543362524.469
event, click, i, 1, j, 1, index, 3, t, 1543362529.341
event, click, i, 1, j, 0, index, 2, t, 1543362532.31
event, click, i, 0, j, 0, index, 0, t, 1543362535.428
event, click, i, 0, j, 0, index, 0, t, 1543362535.91
event, click, i, 2, j, 1, index, 5, t, 1543362537.87
event, click, i, 0, j, 0, index, 0, t, 1543362540.853
event, click, i, 2, j, 0, index, 4, t, 1543362543.714
event, click, i, 0, j, 1, index, 1, t, 1543362546.637
event, click, i, 1, j, 0, index, 2, t, 1543362549.893
event, click, i, 1, j, 1, index, 3, t, 1543362552.836
event, click, i, 0, j, 0, index, 0, t, 1543362555.774
event, click, i, 2, j, 0, index, 4, t, 1543362559.676
event, click, i, 0, j, 1, index, 1, t, 1543362562.7
event, click, i, 1, j, 1, index, 3, t, 1543362566.228
event, click, i, 2, j, 1, index, 5, t, 1543362569.18
event, click, i, 1, j, 1, index, 3, t, 1543362622.606
event, click, i, 1, j, 0, index, 2, t, 1543362626.116
event, click, i, 0, j, 0, index, 0, t, 1543362629.469
event, click, i, 2, j, 0, index, 4, t, 1543362632.622
event, click, i, 1, j, 0, index, 2, t, 1543362633.917
event, click, i, 0, j, 0, index, 0, t, 1543362636.662
event, click, i, 2, j, 0, index, 4, t, 1543362639.373
event, click, i, 0, j, 1, index, 1, t, 1543362641.822
event, click, i, 1, j, 1, index, 3, t, 1543362645.357
event, click, i, 1, j, 0, index, 2, t, 1543362647.885
event, click, i, 0, j, 0, index, 0, t, 1543362651.021
event, click, i, 2, j, 1, index, 5, t, 1543362653.605
event, click, i, 0, j, 1, index, 1, t, 1543362657.021
event, click, i, 1, j, 1, index, 3, t, 1543362660.58
event, click, i, 1, j, 0, index, 2, t, 1543362663.117
event, click, i, 0, j, 0, index, 0, t, 1543362666.502
event, click, i, 2, j, 1, index, 5, t, 1543362669.17
event, click, i, 0, j, 0, index, 0, t, 1543362672.276
event, click, i, 1, j, 1, index, 3, t, 1543362675.283
event, click, i, 1, j, 0, index, 2, t, 1543362678.413
event, click, i, 0, j, 1, index, 1, t, 1543362681.2
